"TestRunID","Word","Weight"
"RandomGoods","academy",2.52572864430826
"RandomGoods","acquired",2.90042209374967
"RandomGoods","albino",2.99573227355399
"RandomGoods","amicably",2.81341071676004
"RandomGoods","amused",2.81341071676004
"RandomGoods","angrily",2.7333680090865
"RandomGoods","aquanaut",2.99573227355399
"RandomGoods","ashy",2.3538783873816
"RandomGoods","asymptote",3.35240721749272
"RandomGoods","automatic",2.65926003693278
"RandomGoods","aware",2.59026716544583
"RandomGoods","awry",2.40794560865187
"RandomGoods","beaked",2.99573227355399
"RandomGoods","bedimmed",2.7333680090865
"RandomGoods","belief",2.81341071676004
"RandomGoods","beside",3.2188758248682
"RandomGoods","beta",3.2188758248682
"RandomGoods","blunt",2.90042209374967
"RandomGoods","bobwhite",3.10109278921182
"RandomGoods","bodiless",2.90042209374967
"RandomGoods","bootlegger",2.99573227355399
"RandomGoods","brainwave",3.10109278921182
"RandomGoods","bridesmaid",2.65926003693278
"RandomGoods","bystander",2.16282315061889
"RandomGoods","carbonyl",2.90042209374967
"RandomGoods","cars",1.96611285637283
"RandomGoods","china",1.66073120682165
"RandomGoods","chopped",2.52572864430826
"RandomGoods","circlet",2.7333680090865
"RandomGoods","cityscape",3.2188758248682
"RandomGoods","commingle",2.7333680090865
"RandomGoods","commissioner",2.65926003693278
"RandomGoods","compositional",2.90042209374967
"RandomGoods","consuming",2.81341071676004
"RandomGoods","contrail",2.52572864430826
"RandomGoods","cool",2.7333680090865
"RandomGoods","countermeasure",2.81341071676004
"RandomGoods","courtship",2.40794560865187
"RandomGoods","cracked",2.7333680090865
"RandomGoods","creche",2.81341071676004
"RandomGoods","creditor",2.7333680090865
"RandomGoods","croissant",2.52572864430826
"RandomGoods","cutlet",2.65926003693278
"RandomGoods","cynical",2.99573227355399
"RandomGoods","daub",3.2188758248682
"RandomGoods","deaden",2.7333680090865
"RandomGoods","deathly",2.90042209374967
"RandomGoods","defectiveness",2.59026716544583
"RandomGoods","denmark",1.68739945390381
"RandomGoods","dessertspoonful",3.35240721749272
"RandomGoods","devastate",2.90042209374967
"RandomGoods","disapprove",2.81341071676004
"RandomGoods","disbelieving",3.10109278921182
"RandomGoods","dishware",2.40794560865187
"RandomGoods","disrupt",3.50655789731998
"RandomGoods","dog",3.35240721749272
"RandomGoods","duration",2.7333680090865
"RandomGoods","earpiece",2.7333680090865
"RandomGoods","electrocution",2.59026716544583
"RandomGoods","eradicator",2.52572864430826
"RandomGoods","ethnographer",3.2188758248682
"RandomGoods","expat",3.2188758248682
"RandomGoods","farmland",3.10109278921182
"RandomGoods","fascism",2.46510402249182
"RandomGoods","fiberboard",2.25379492882461
"RandomGoods","financier",2.40794560865187
"RandomGoods","formic",2.90042209374967
"RandomGoods","frolic",2.99573227355399
"RandomGoods","frostbitten",2.81341071676004
"RandomGoods","fume",2.90042209374967
"RandomGoods","fungicide",3.50655789731998
"RandomGoods","gastronomical",3.35240721749272
"RandomGoods","gawkiness",3.10109278921182
"RandomGoods","gelatin",2.81341071676004
"RandomGoods","germany",1.68739945390381
"RandomGoods","gesture",2.7333680090865
"RandomGoods","glorification",2.59026716544583
"RandomGoods","gram",3.35240721749272
"RandomGoods","greased",2.65926003693278
"RandomGoods","guardroom",3.10109278921182
"RandomGoods","gunpoint",2.99573227355399
"RandomGoods","ham",1.63475572041839
"RandomGoods","harshness",2.65926003693278
"RandomGoods","high",2.7333680090865
"RandomGoods","highlight",3.10109278921182
"RandomGoods","historically",2.7333680090865
"RandomGoods","hollyhock",2.59026716544583
"RandomGoods","homespun",2.52572864430826
"RandomGoods","hoodoo",3.2188758248682
"RandomGoods","humility",2.90042209374967
"RandomGoods","hysterical",3.10109278921182
"RandomGoods","iffy",2.90042209374967
"RandomGoods","ignoramus",3.2188758248682
"RandomGoods","immure",2.65926003693278
"RandomGoods","impractical",2.81341071676004
"RandomGoods","imprecise",2.52572864430826
"RandomGoods","improvable",2.99573227355399
"RandomGoods","incomplete",2.90042209374967
"RandomGoods","inconsistently",3.10109278921182
"RandomGoods","innovate",3.35240721749272
"RandomGoods","island",2.99573227355399
"RandomGoods","jeering",2.65926003693278
"RandomGoods","jimsonweed",2.65926003693278
"RandomGoods","lawful",3.2188758248682
"RandomGoods","licorice",2.90042209374967
"RandomGoods","lieutenancy",2.90042209374967
"RandomGoods","limey",2.65926003693278
"RandomGoods","living",3.35240721749272
"RandomGoods","loosen",3.10109278921182
"RandomGoods","machines",1.71479842809193
"RandomGoods","mainly",2.65926003693278
"RandomGoods","manganese",3.50655789731998
"RandomGoods","mansion",2.65926003693278
"RandomGoods","masculine",2.99573227355399
