"IngestionRunID","Item","TagType","Value","Weight"
"WLExampleData","Statistics-AirlinePassengerMiles","ApplicationArea","ApplicationArea:Aviation",0.9999999999999999
"WLExampleData","Statistics-AirplaneGlass","ApplicationArea","ApplicationArea:Aviation",0.863961328397164
"WLExampleData","Statistics-AirplaneGlass","ApplicationArea","ApplicationArea:Engineering",0.5035581625137335
"WLExampleData","Statistics-AnimalWeights","ApplicationArea","ApplicationArea:Zoology",1.0
"WLExampleData","Statistics-AnorexiaTreatment","ApplicationArea","ApplicationArea:Medicine",1.0
"WLExampleData","Statistics-AnscombeRegressionLines","ApplicationArea","ApplicationArea:Statistics",1.0
"WLExampleData","Statistics-AustraliaAIDS","ApplicationArea","ApplicationArea:Medicine",1.0
"WLExampleData","Statistics-AustraliaRainfall","ApplicationArea","ApplicationArea:AtmosphericScience",1.0
"WLExampleData","Statistics-Baboon","ApplicationArea","ApplicationArea:Zoology",1.0
"WLExampleData","Statistics-BatchChemicalProcessYields","ApplicationArea","ApplicationArea:Chemistry",0.7790679340102974
"WLExampleData","Statistics-BatchChemicalProcessYields","ApplicationArea","ApplicationArea:Engineering",0.6269395139859401
"WLExampleData","Statistics-BeaverBodyTemperatures","ApplicationArea","ApplicationArea:Zoology",1.0
"WLExampleData","Statistics-BelgianCalls","ApplicationArea","ApplicationArea:Telecommunication",1.0
"WLExampleData","Statistics-BiochemicalOxygenDemand","ApplicationArea","ApplicationArea:Biology",0.7220859921889505
"WLExampleData","Statistics-BiochemicalOxygenDemand","ApplicationArea","ApplicationArea:Chemistry",0.6918033101138638
"WLExampleData","Statistics-BirthWeightRisk","ApplicationArea","ApplicationArea:Medicine",1.0
"WLExampleData","Statistics-BlackCherryTrees","ApplicationArea","ApplicationArea:Biology",1.0
"WLExampleData","Statistics-BoforsSteel","ApplicationArea","ApplicationArea:Engineering",0.9999999999999999
"WLExampleData","Statistics-BoilingAlps","ApplicationArea","ApplicationArea:Physics",0.9999999999999999
"WLExampleData","Statistics-BoneMarrowLeukemia","ApplicationArea","ApplicationArea:Medicine",1.0
"WLExampleData","Statistics-BoneMarrowTransplants","ApplicationArea","ApplicationArea:Medicine",1.0
"WLExampleData","Statistics-BostonHomes","ApplicationArea","ApplicationArea:Econometrics",1.0
"WLExampleData","Statistics-BuffaloSnow","ApplicationArea","ApplicationArea:AtmosphericScience",1.0
"WLExampleData","Statistics-Cabbages","ApplicationArea","ApplicationArea:Agriculture",0.7577969479649674
"WLExampleData","Statistics-Cabbages","ApplicationArea","ApplicationArea:Biology",0.6524904487078568
"WLExampleData","Statistics-CarStoppingDistances","ApplicationArea","ApplicationArea:Engineering",0.9999999999999999
"WLExampleData","Statistics-CementHeat","ApplicationArea","ApplicationArea:Engineering",0.9999999999999999
"WLExampleData","Statistics-CeramicStrength","ApplicationArea","ApplicationArea:Engineering",0.9999999999999999
"WLExampleData","Statistics-ChanningHouse","ApplicationArea","ApplicationArea:Actuarial",0.9999999999999999
"WLExampleData","Statistics-ChemicalProcessConcentrations","ApplicationArea","ApplicationArea:Chemistry",0.7790679340102974
"WLExampleData","Statistics-ChemicalProcessConcentrations","ApplicationArea","ApplicationArea:Engineering",0.6269395139859401
"WLExampleData","Statistics-ChemicalProcessTemperatures","ApplicationArea","ApplicationArea:Chemistry",0.7790679340102974
"WLExampleData","Statistics-ChemicalProcessTemperatures","ApplicationArea","ApplicationArea:Engineering",0.6269395139859401
"WLExampleData","Statistics-ChemicalProcessViscosityReadings","ApplicationArea","ApplicationArea:Chemistry",0.7790679340102974
